order_id,tickets,ticket_ids,codes,refund_sum,any_replacement,order_value_inr,excess_inr,first_contact,last_contact,product_name
VR895861,4,TK-249836|TK-250036|TK-250468|TK-250748,DUP-PAYMENT|RETURN-QC-OK,41592.0,False,10398,31194.0,2026-02-02 10:27:00,2026-03-01 16:20:00,Nexa 2 Smartwatch
VR903983,5,TK-243193|TK-243327|TK-243351|TK-243748|TK-244519,DUP-PAYMENT|RETURN-QC-OK,19996.0,False,4999,14997.0,2025-07-19 13:09:00,2025-09-06 22:31:00,Nexa Smartwatch
VR896636,4,TK-248037|TK-248302|TK-249147|TK-250086,DUP-PAYMENT,19497.0,False,6499,12998.0,2025-12-12 10:53:00,2026-02-10 08:24:00,Nexa 2 Smartwatch
VR897600,2,TK-254540|TK-254604,CANCEL|RETURN-QC-OK,25996.0,False,12998,12998.0,2026-06-21 03:26:00,2026-06-23 09:33:00,Nexa 2 Smartwatch
VR907148,6,TK-245068|TK-246045|TK-247183|TK-252521|TK-253158|TK-253189,CANCEL|DOA-REPL|DUP-PAYMENT,13996.0,False,3499,10497.0,2025-09-25 14:39:00,2026-05-12 19:28:00,Pulse 2 True Wireless Earbuds
VR907631,6,TK-248164|TK-248377|TK-248512|TK-248845|TK-249322|TK-249826,PRICE-ADJ|RETURN-QC-OK,11994.0,True,3998,9456.0,2025-12-15 22:09:00,2026-02-01 22:58:00,Pulse True Wireless Earbuds
VR889387,4,TK-240616|TK-240691|TK-240821|TK-241044,DUP-PAYMENT|RETURN-QC-OK,12998.0,True,6499,9289.0,2025-02-18 19:31:00,2025-03-18 16:37:00,Nexa 2 Smartwatch
VR902491,5,TK-243772|TK-243791|TK-244194|TK-244809|TK-245457,RETURN-QC-OK,10497.0,True,3499,8818.0,2025-08-13 19:10:00,2025-10-08 07:14:00,Pulse 2 True Wireless Earbuds
VR890151,4,TK-240422|TK-240745|TK-241088|TK-241204,RETURN-QC-OK,15398.0,False,6999,8399.0,2025-02-04 10:55:00,2025-03-28 08:13:00,Strata 3 Over-Ear Headphones
VR909414,4,TK-245921|TK-245983|TK-246295|TK-247538,RETURN-QC-OK,10398.0,True,5199,7989.0,2025-10-20 18:31:00,2025-11-30 00:25:00,Nexa 2 Smartwatch
VR893142,3,TK-253756|TK-254435|TK-254579,DUP-PAYMENT|RETURN-QC-OK,14298.0,False,6499,7799.0,2026-05-28 07:06:00,2026-06-22 10:44:00,Nexa 2 Smartwatch
VR881415,5,TK-245682|TK-245696|TK-245826|TK-248293|TK-253436,DOA-REPL|DUP-PAYMENT,9348.0,True,4249,7539.0,2025-10-14 10:32:00,2026-05-18 22:08:00,Strata 2 Over-Ear Headphones
VR903368,4,TK-242301|TK-242316|TK-242497|TK-242719,DUP-PAYMENT,13973.0,False,6499,7474.0,2025-05-29 13:48:00,2025-06-22 05:52:00,Nexa 2 Smartwatch
VR898009,4,TK-242702|TK-243394|TK-243602|TK-244408,RETURN-QC-OK,13088.0,False,5949,7139.0,2025-06-21 11:34:00,2025-09-03 19:30:00,Strata 3 Over-Ear Headphones
VR883322,4,TK-244812|TK-253075|TK-253271|TK-253800,DUP-PAYMENT|RETURN-QC-OK,13998.0,False,6999,6999.0,2025-09-16 16:59:00,2026-05-29 00:43:00,Strata 3 Over-Ear Headphones
VR909302,3,TK-253783|TK-254602|TK-254890,DUP-PAYMENT|RETURN-QC-OK,10497.0,False,3499,6998.0,2026-05-28 16:18:00,2026-06-30 22:39:00,Pulse 2 True Wireless Earbuds
VR891575,5,TK-243667|TK-243720|TK-243731|TK-243907|TK-244606,RETURN-QC-OK,9972.0,False,3324,6648.0,2025-08-10 08:11:00,2025-09-09 20:17:00,Pulse 2 True Wireless Earbuds
