section,key,value,change_pct
volume,2024-12-30/2025-01-05,47,
volume,2025-01-06/2025-01-12,54,14.9
volume,2025-01-13/2025-01-19,59,9.3
volume,2025-01-20/2025-01-26,82,39.0
volume,2025-01-27/2025-02-02,67,-18.3
volume,2025-02-03/2025-02-09,78,16.4
volume,2025-02-10/2025-02-16,68,-12.8
volume,2025-02-17/2025-02-23,83,22.1
volume,2025-02-24/2025-03-02,80,-3.6
volume,2025-03-03/2025-03-09,96,20.0
volume,2025-03-10/2025-03-16,88,-8.3
volume,2025-03-17/2025-03-23,99,12.5
volume,2025-03-24/2025-03-30,98,-1.0
volume,2025-03-31/2025-04-06,86,-12.2
volume,2025-04-07/2025-04-13,80,-7.0
volume,2025-04-14/2025-04-20,91,13.7
volume,2025-04-21/2025-04-27,108,18.7
volume,2025-04-28/2025-05-04,98,-9.3
volume,2025-05-05/2025-05-11,108,10.2
volume,2025-05-12/2025-05-18,89,-17.6
volume,2025-05-19/2025-05-25,110,23.6
volume,2025-05-26/2025-06-01,107,-2.7
volume,2025-06-02/2025-06-08,93,-13.1
volume,2025-06-09/2025-06-15,100,7.5
volume,2025-06-16/2025-06-22,108,8.0
volume,2025-06-23/2025-06-29,87,-19.4
volume,2025-06-30/2025-07-06,102,17.2
volume,2025-07-07/2025-07-13,94,-7.8
volume,2025-07-14/2025-07-20,101,7.4
volume,2025-07-21/2025-07-27,114,12.9
volume,2025-07-28/2025-08-03,130,14.0
volume,2025-08-04/2025-08-10,124,-4.6
volume,2025-08-11/2025-08-17,172,38.7
volume,2025-08-18/2025-08-24,153,-11.0
volume,2025-08-25/2025-08-31,171,11.8
volume,2025-09-01/2025-09-07,182,6.4
volume,2025-09-08/2025-09-14,184,1.1
volume,2025-09-15/2025-09-21,153,-16.8
volume,2025-09-22/2025-09-28,167,9.2
volume,2025-09-29/2025-10-05,169,1.2
volume,2025-10-06/2025-10-12,203,20.1
volume,2025-10-13/2025-10-19,216,6.4
volume,2025-10-20/2025-10-26,215,-0.5
volume,2025-10-27/2025-11-02,224,4.2
volume,2025-11-03/2025-11-09,228,1.8
volume,2025-11-10/2025-11-16,213,-6.6
volume,2025-11-17/2025-11-23,240,12.7
volume,2025-11-24/2025-11-30,232,-3.3
volume,2025-12-01/2025-12-07,230,-0.9
volume,2025-12-08/2025-12-14,197,-14.3
volume,2025-12-15/2025-12-21,206,4.6
volume,2025-12-22/2025-12-28,196,-4.9
volume,2025-12-29/2026-01-04,177,-9.7
volume,2026-01-05/2026-01-11,200,13.0
volume,2026-01-12/2026-01-18,198,-1.0
volume,2026-01-19/2026-01-25,196,-1.0
volume,2026-01-26/2026-02-01,188,-4.1
volume,2026-02-02/2026-02-08,180,-4.3
volume,2026-02-09/2026-02-15,178,-1.1
volume,2026-02-16/2026-02-22,190,6.7
volume,2026-02-23/2026-03-01,204,7.4
volume,2026-03-02/2026-03-08,184,-9.8
volume,2026-03-09/2026-03-15,201,9.2
volume,2026-03-16/2026-03-22,184,-8.5
volume,2026-03-23/2026-03-29,194,5.4
volume,2026-03-30/2026-04-05,190,-2.1
volume,2026-04-06/2026-04-12,203,6.8
volume,2026-04-13/2026-04-19,201,-1.0
volume,2026-04-20/2026-04-26,189,-6.0
volume,2026-04-27/2026-05-03,174,-7.9
volume,2026-05-04/2026-05-10,157,-9.8
volume,2026-05-11/2026-05-17,231,47.1
volume,2026-05-18/2026-05-24,204,-11.7
volume,2026-05-25/2026-05-31,186,-8.8
volume,2026-06-01/2026-06-07,171,-8.1
volume,2026-06-08/2026-06-14,203,18.7
volume,2026-06-15/2026-06-21,167,-17.7
volume,2026-06-22/2026-06-28,199,19.2
volume,2026-06-29/2026-07-05,46,
theme_week,2024-12-30/2025-01-05|Account access / login,2,
theme_week,2024-12-30/2025-01-05|App & firmware fault,2,
theme_week,2024-12-30/2025-01-05|Arrived damaged or dead on arrival,2,
theme_week,2024-12-30/2025-01-05|Audio quality fault,3,
theme_week,2024-12-30/2025-01-05|Charging & battery fault,3,
theme_week,2024-12-30/2025-01-05|Connectivity & pairing fault,6,
theme_week,2024-12-30/2025-01-05|Delivery delayed or not received,3,
theme_week,2024-12-30/2025-01-05|Payment & invoice,2,
theme_week,2024-12-30/2025-01-05|Pre-sales / compatibility (no fault),3,
theme_week,2024-12-30/2025-01-05|Return pickup & refund status,5,
theme_week,2024-12-30/2025-01-05|Unclear / other,15,
theme_week,2024-12-30/2025-01-05|Warranty claim / RMA status,1,
theme_week,2025-01-06/2025-01-12|Account access / login,2,
theme_week,2025-01-06/2025-01-12|App & firmware fault,2,
theme_week,2025-01-06/2025-01-12|Audio quality fault,2,
theme_week,2025-01-06/2025-01-12|Charging & battery fault,8,
theme_week,2025-01-06/2025-01-12|Connectivity & pairing fault,4,
theme_week,2025-01-06/2025-01-12|Delivery delayed or not received,6,
theme_week,"2025-01-06/2025-01-12|Order change, cancellation & address",2,
theme_week,2025-01-06/2025-01-12|Payment & invoice,3,
theme_week,2025-01-06/2025-01-12|Pre-sales / compatibility (no fault),1,
theme_week,2025-01-06/2025-01-12|Return pickup & refund status,2,
theme_week,2025-01-06/2025-01-12|Unclear / other,21,
theme_week,2025-01-06/2025-01-12|Warranty claim / RMA status,1,
theme_week,2025-01-13/2025-01-19|App & firmware fault,6,
theme_week,2025-01-13/2025-01-19|Audio quality fault,2,
theme_week,2025-01-13/2025-01-19|Charging & battery fault,6,
theme_week,2025-01-13/2025-01-19|Connectivity & pairing fault,3,
theme_week,2025-01-13/2025-01-19|Delivery delayed or not received,8,
theme_week,"2025-01-13/2025-01-19|Order change, cancellation & address",3,
theme_week,2025-01-13/2025-01-19|Payment & invoice,5,
theme_week,2025-01-13/2025-01-19|Pre-sales / compatibility (no fault),2,
theme_week,2025-01-13/2025-01-19|Return pickup & refund status,4,
theme_week,2025-01-13/2025-01-19|Unclear / other,19,
theme_week,2025-01-13/2025-01-19|Warranty claim / RMA status,1,
theme_week,2025-01-20/2025-01-26|Account access / login,4,
theme_week,2025-01-20/2025-01-26|App & firmware fault,4,
theme_week,2025-01-20/2025-01-26|Arrived damaged or dead on arrival,3,
theme_week,2025-01-20/2025-01-26|Audio quality fault,4,
theme_week,2025-01-20/2025-01-26|Charging & battery fault,4,
theme_week,2025-01-20/2025-01-26|Connectivity & pairing fault,8,
theme_week,2025-01-20/2025-01-26|Delivery delayed or not received,9,
theme_week,"2025-01-20/2025-01-26|Order change, cancellation & address",7,
theme_week,2025-01-20/2025-01-26|Payment & invoice,5,
theme_week,2025-01-20/2025-01-26|Pre-sales / compatibility (no fault),2,
theme_week,2025-01-20/2025-01-26|Return pickup & refund status,4,
theme_week,2025-01-20/2025-01-26|Unclear / other,27,
theme_week,2025-01-20/2025-01-26|Warranty claim / RMA status,1,
theme_week,2025-01-27/2025-02-02|Account access / login,3,
theme_week,2025-01-27/2025-02-02|App & firmware fault,3,
theme_week,2025-01-27/2025-02-02|Arrived damaged or dead on arrival,5,
theme_week,2025-01-27/2025-02-02|Audio quality fault,3,
theme_week,2025-01-27/2025-02-02|Charging & battery fault,3,
theme_week,2025-01-27/2025-02-02|Connectivity & pairing fault,4,
theme_week,2025-01-27/2025-02-02|Delivery delayed or not received,9,
theme_week,"2025-01-27/2025-02-02|Order change, cancellation & address",5,
theme_week,2025-01-27/2025-02-02|Payment & invoice,4,
theme_week,2025-01-27/2025-02-02|Pre-sales / compatibility (no fault),5,
theme_week,2025-01-27/2025-02-02|Return pickup & refund status,9,
theme_week,2025-01-27/2025-02-02|Unclear / other,13,
theme_week,2025-01-27/2025-02-02|Warranty claim / RMA status,1,
theme_week,2025-02-03/2025-02-09|Account access / login,1,
theme_week,2025-02-03/2025-02-09|App & firmware fault,4,
theme_week,2025-02-03/2025-02-09|Arrived damaged or dead on arrival,2,
theme_week,2025-02-03/2025-02-09|Audio quality fault,7,
theme_week,2025-02-03/2025-02-09|Charging & battery fault,6,
theme_week,2025-02-03/2025-02-09|Connectivity & pairing fault,7,
theme_week,2025-02-03/2025-02-09|Delivery delayed or not received,7,
theme_week,"2025-02-03/2025-02-09|Order change, cancellation & address",4,
theme_week,2025-02-03/2025-02-09|Payment & invoice,4,
theme_week,2025-02-03/2025-02-09|Pre-sales / compatibility (no fault),3,
theme_week,2025-02-03/2025-02-09|Return pickup & refund status,5,
theme_week,2025-02-03/2025-02-09|Unclear / other,24,
theme_week,2025-02-03/2025-02-09|Warranty claim / RMA status,4,
theme_week,2025-02-10/2025-02-16|App & firmware fault,3,
theme_week,2025-02-10/2025-02-16|Arrived damaged or dead on arrival,2,
